,title,lead,author,date,content
37,Morocco’s Autonomy Plan for Western Sahara Enjoys International Support,Morocco’s stance on Western Sahara continues to attract international support after the US and Spain's official endorsements.,Souad Anouar,"May 12, 2022 12:36 p.m.","Rabat - Several foreign ministers have stressed their countries’ support for Morocco’s Autonomy Plan for Western Sahara, underlining its credibility and potential to resolve the lingering territorial dispute in line with the UN resolutions on the matter. 
On Wednesday, Morocco’s Ministry of Foreign Affairs Nasser Bourita held numerous bilateral meetings with his Romanian, Serbian, Cypriot, and Nigerien counterparts. The meetings were held on the sidelines of the ministerial meeting of the Global Coalition against Daesh.
Bogdan Aurescu, Romania’s foreign minister, commended Morocco’s serious efforts to establish “a just, lasting and mutually acceptable” solution to the Western Sahara dispute, recalling the North African kingdom’s submission of the Autonomy Plan proposal to the UN Security Council in 2007. 
Bourita and Aurescu stressed their countries’ role in promoting and preserving peace and stability in Africa, the Mediterranean, as well as Central Europe and the Balkans. 
They further called for the consolidation of political dialogue and cooperation between the two countries in education, vocational training, scientific research, and digitization to advance the 60-year-old diplomatic relations between Bucharest and Rabat. 
Nikola Selakovic, Serbia’s Foreign Minister, echoed Aurescu’s statements, adding that his country supports the “serious and credible” Moroccan autonomy plan for Western Sahara which underpins the Kingdom’s sovereignty over the disputed territory. 
Read Also: How Morocco's Multi-Faceted Diplomatic Approach in Africa is Winning
Discussion over territorial integrity between Bourita and Selakovic also extended to the dispute between Serbia on one side and Kosovo and Metohija on another. 
Selakovic additionally praised Morocco’s commitment to sustainable socio-economic growth as well as African stability and development. 
Territorial integrity was also at the center of the bilateral meeting between Bourita and his Cypriot counterpart Ioannis Kasoulides who reaffirmed his country’s support of Morocco’s autonomy proposal.  
“We will work together today to establish a roadmap for bilateral cooperation in all areas,” Kasoulides said. The roadmap would provide a basis for the deepening of political, economic, and cultural ties between Nicosia and Rabat at the bilateral, regional, and international levels. 
For his part, Hassoumi Massaoudou, Niger’s Foreign Minister, said that ""Niger supports the position of the African Union, which consecrates the exclusivity of the United Nations as a framework for the search for a solution to the regional conflict created around the question of the Sahara."" 
Massaoudou further welcomed Morocco's efforts to resolve the long-standing dispute around the status of Western Sahara. 
Romania, Serbia, Cyprus, and Niger’s stances on Western Sahara demonstrate an international tendency to commend Morocco’s “credible and serious” autonomy proposal, particularly after the official endorsements of the United States and Spain. 
Earlier this week, Bahrain, Egypt, Turkey, Guinea, and Central Africa all stated their pro-Morocco stances on the dispute. 
Currently, more than 20 countries have diplomatic representations in the cities of Dakhla and Laayoune, cementing their support of the Moroccanness of Western Sahara. 
Read Also: Former UN Official: Spain To Influence European Stances on Western Sahara
© Morocco World News. All Rights Reserved. This material may not be published, rewritten or redistributed without permission."
38,Turkey Reaffirms Support for Morocco’s Territorial Integrity,Turkey also acknowledges Morocco’s pivotal role in maintaining safety and security in the region.,Oumaima Latrech,"May 12, 2022 11:15 a.m.","Rabat - Turkish Foreign Minister Mevlut Cavusoglu has reiterated his country’s support for Morocco’s territorial integrity, stressing Ankara’s desire to maintain warm and “brotherly” diplomatic relations with Rabat. 
Speaking on Wednesday during a joint conference with his Moroccan counterpart Nasser Bourita, the Turkish official reaffirmed Ankara’s long-standing position on Morocco’s sovereignty over its territories.
“I would like to reiterate Turkey's principled position in favor of the territorial integrity and sovereignty of countries, and reaffirm Turkey's support for the sovereignty and territorial integrity of brotherly Morocco,” Cavusoglu said.
Cavusoglu stressed that during his meeting with Bourita, they discussed bilateral relations and ways to further increase cooperation, mainly in trade and regional issues such as the Libyan crisis.
The Bourita-Cavusoglu meeting was held on the sidelines of the Ministerial Meeting of the Global Coalition against Daesh in Marrakech.
The high-level meeting was held this week for the first time in an African country, testifying to Moroco’s pursuit of international commitment to counter-terrorism and extremism while collaborating with other countries to face terrorist threats worldwide and in the MENA region.
The Turkish minister also said that the meeting, which brought together over 80 countries, comes at an “important time,” in light of the continuing emerging threat of terrorist organizations in Syria, Iraq, Afghanistan, and the Sahel region in Africa.
“Peace, stability, and prosperity of the Sahel Region and North Africa are indispensable for the stability of the Mediterranean, Africa, the Middle East, and even Europe,” he stressed.
Meanwhile, Moroccan FM Bourita said that the North African country “appreciates Turkey’s position on the Western Sahara dispute,” noting that the bilateral meeting was an opportunity to exchange on many international and regional issues, saying that Turkey is an “active actor in many international organizations.”
In terms of bilateral economic cooperation, he highlighted that Morocco and Turkey “agreed to create new opportunities for the private sector as well.”
Like Turkey, many countries that took part in the Global Coalition meeting in Marrakech reiterated their support for Morocco’s Autonomy Plan and sovereignty over its southern territories.
Read Also: The Netherlands Supports Morocco’s Autonomy Plan for Western Sahara
© Morocco World News. All Rights Reserved. This material may not be published, rewritten or redistributed without permission."
39,Moroccan-Spanish Joint Declaration: A New Diplomatic Roadmap,"Thanks to the new joint declaration, Moroccan-Spanish relations are set to become stronger than ever.",Aya Benazizi,"May 11, 2022 4:36 p.m.","Casablanca - Morocco and Spain are set to enjoy a new phase of positive cooperation and stronger ties, according to both countries' foreign ministers. 
Following their long-awaited first bilateral meeting yesterday in Marrakech, Spanish Foreign Minister Jose Manuel Albares, and his Moroccan counterpart Nasser Bourita announced that the two countries have entered a new phase of diplomatic ties as a result of the joint declaration issued by the two nations.
The two countries released a joint statement following Spanish President Pedro Sanchez's recent visit to Morocco which resulted in yesterday's ministerial meeting. The statement aims to announce the start of a new chapter in bilateral ties. 
According to Bourita, this important meeting was “necessary to address the steps we have taken in implementing the road map” that was agreed upon during the visit of the Spanish Prime Minister to Morocco last April, at the invitation of King Mohammed VI.
“On the basis of this commitment, and in accordance with King Mohammed VI's clear instructions,” Bourita noted, during a press conference following the meeting, that “the Moroccan side is working toward the full implementation of all elements of the joint statement, including those related to the flexible movement of people and goods between the two countries.”
He further emphasized that Morocco will continue to implement the elements contained in the joint statement using the same logic of close dialogue in order to achieve the King's and the Spanish Prime Minister's vision of “a strong, renewed relationship and partnership in all fields.”
A win-win cooperation
The outcomes of bilateral collaboration are beginning to be realized on the ground, whether in the sector of migration, security, or economic cooperation. So far, Moroccan-Spanish cooperation has been exemplary and acknowledged at the regional, European, and global levels, Bourita said.
Since Morocco’s monarch held in-depth meetings with the Spanish Prime Minister, diplomats from both countries have been hard at work. Recent cooperation included discussing the transit procedure for Operation Marhaba 2022, reopening maritime links between the two countries, and the convening of Moroccan-Spanish working groups on migration.
Bourita added that the two parties are expected to meet for bilateral cooperation on culture and educational scientific exchange, as well as two additional teams for marine boundary demarcation and airspace management, in addition to the bilateral visits.
Bourita assured the Spanish foreign minister that “Spain can count on Morocco as a reliable partner, honest and responsible partner to build an exemplary partnership between two neighboring countries that share multiple interests and a common history.” He added that Morocco desires to strengthen consultations with Spain on international, regional, and multilateral issues.
On the other hand, he highlighted Morocco's reliance on Spain as a partner and ally in its dealings with the European Union. Bourita noted that the Spanish-Moroccan relationship “is not against anyone, but rather to protect bilateral interests, develop partnership, and enhance security and stability.”
The Moroccan diplomat also expressed his country’s desire to cooperate with Spain on a framework for cooperation in the Euro-Mediterranean area, as well as on regional and security challenges in the Sahel, North Africa, and the rest of the African continent.
Moroccan-Spanish economic outcomes
During his meeting with his Moroccan counterpart yesterday, Manuel Albares reaffirmed Spain's commitment to the objectives outlined in the joint statement issued at the end of the Spanish prime minister's visit to Morocco in April.
Following their meetings, Manuel Albares stated in a joint news conference with Bourita that the two nations are making steady efforts to advance their new agreement. He applauded the amount of investment between the two countries, highlighting that roughly 800 Spanish companies have been established in Morocco.
Thanks to these investments, he added, Morocco has become Spain's main market outside the European Union, while Spain remains Morocco's first customer and supplier.
Manuel Albares additionally praised the momentum in migration-related cooperation. He noted that the resumption of bilateral cooperation in this field contributed to a significant decrease in the flow of irregular migrants to the Canary Islands and the Iberian Peninsula, thanks to cooperation between security authorities in both countries.
The restoration of collaboration around Operation Marhaba, according to the Spanish minister, is another good example of the resuscitation of bilateral ties based on transparency and mutual respect.
Fighting against terrorism: Uniting Morocco and Spain
In addition to other critical international concerns, Morocco and Spain are on the same page when it comes to fighting extremism.
The Spanish minister used the press conference to reiterate his country's commitment to fighting terrorism with Morocco, emphasizing that cooperation between the two nations is the sole guarantee of the two peoples' security and prosperity.
He also highlighted his country's intention to expand this collaboration to regular cooperation in all bilateral domains.
Western Sahara: A fateful file between Morocco and Spain
Bourita stated Tuesday in Marrakesh that the Spanish government's backing for Morocco’s autonomy plan is part of global efforts to find a solution to the artificial dispute over the Western Sahara region, emphasizing that “the kingdom appreciates and values this new position.”
Bourita asserted that this position is entirely consistent with the Security Council's vision, aligns with international trends, and echoes the position of many European countries and the majority of Arab and African countries.
“Whoever wants this conflict to continue, with the instability it creates in the region and the suffering of detainees in the Tindouf camps, can continue to encourage the status quo,” Bourita told. This instability “has been going on for four decades and could be prolonged if there is no mobilization to settle this conflict, within the framework of the only possible solution,” Bourita stated as he referred to the Autonomy Initiative.
Bourita concluded that the joint statement issued last April has opened new horizons for bilateral relations. According to Bourita, the joint statement highlighted a series of initiatives and measures that should be taken to give bilateral ties a strong push.
The new chapter of relations between the two neighboring nations is “based on collaboration, coordination, ambition, and mutual respect,” underlined the Moroccan diplomat.
© Morocco World News. All Rights Reserved. This material may not be published, rewritten or redistributed without permission."
40,"Moroccan FM: Separatism Breeds Terrorism, Instability","The Moroccan FM has not directly referenced Algeria, but he previously made similar remarks denouncing the Algerian regime’s approach to financing and support for the Polisario Front.",Safaa Kasraoui,"May 11, 2022 4:06 p.m.","Rabat - Moroccan Foreign Affairs Minister Nasser Bourita has denounced the financing, arming, and support of separatist groups, describing such acts as critical factors in spreading terrorism and instability across the world.  
Bourita made the remark during his opening speech at the Ministerial Meeting of the Global Coalition to Defeat ISIS that opened today in the city of Marrakech, with the participation of 80 countries.
The Moroccan FM recalled the world's efforts to tackle the scourge of terrorism but reminded attendees that terrorist challenges remain prevalent across the world.
He also spoke about how Africa has become a target for terrorist groups, particularly those affiliated with ISIS, in search of a new base.
After sharing concerns about ISIS threats, the Moroccan FM  spoke about the terrorism-separatism nexus, which he said is undermining the stability and sovereignty of many countries in Africa and beyond. 
“The convergence of financial, tactical, and operational means, creates an objective alliance between terrorist and separatist groups,” the Moroccan FM said, stressing the increasing number of individuals crossing from separatist to terror groups and “vice-versa.”
Polisario’s terrorist links
Bourita did not directly reference the case of the Polisario Front. However, several reports have in recent years pointed to the existence of “dangerous links” between the Polisario Front and terrorist groups in the Sahel and elsewhere.
In 2017, Morocco’s Central Bureau of Judicial Investigations (BCIJ) said that about 100 members of Polisario had joined ISIS.
In 2021, France announced the death of Adnan Abu Walid Al Sahrawi, the leader of the terrorist group known as ISIS in the Greater Sahara.
Al Sahrawi was born in Laayoune and moved to Algeria, where he trained and fought with the Polisario Front’s armed units, before branching off to radical jihadist groups.
Polisario is a separatist group claiming independence for Western Sahara with the financial, political, and logistic backing of Algeria.
Bourita emphasized that separatism and terrorism are “very often two sides of the same coin.”
Anyone financing, sheltering, supporting, and weaponizing separatists are “contributing to spread terrorism and further compromise regional peace and security, ” Bourita said, adding that encouraging separatism is “tantamount to complicity with terrorism.”
The ministerial meeting in Marrakech served as an opportunity for the international community to show a common commitment to the rise of the challenges of the merging forms of global terrorism.
During the event, high-level officials also emphasized Morocco’s efforts to tackle terror threats at home and in the region.
Italian Foreign minister Luigi di Mai stressed the importance of Morocco’s role in contributing to security efforts in the Sahel, saying: “I would like to stress the importance of the role played by Morocco as a pole of democracy and regional stability in the Sahel and Mediterranean regions.”
© Morocco World News. All Rights Reserved. This material may not be published, rewritten or redistributed without permission."
41,"Morocco Renews Commitment to Counterterrorism, Strengthen Security",Morocco has increased its efforts in the last two decades to effectively ensure stability and security by tackling terrorism and violent extremism.,Oumaima Latrech,"May 11, 2022 3:26 p.m.","Rabat - Morocco has been keen to adopt an advanced criminal policy approach to counterterrorism since the 2003 terrorist attack in Casablanca, said the Moroccan Minister of Justice Abdellatif Ouahbi on Tuesday in Malaga, Spain.
Speaking at the high-level ministerial meeting held within the framework of the international conference on human rights, civil society, and the fight against terrorism, Ouahbi stressed that Morocco has intensified its efforts to face terrorist threats at home and in the region.
During the conference, which was held between May 10-11, Ouahbi noted that Morocco has established several bodies to ensure the efficiency of its approach to combat terrorism and extremism.
He highlighted that the Rabat Court of Appeal is in charge of examining cases related to terrorism and its financing, while the courts of first instance in Rabat, Fez, Casablanca, and Marrakech handle money laundering and related cases.
The minister stressed that Morocco and the UN signed an agreement on October 2020 under which the UNOCT Program Office for Counter-Terrorism in Africa, the first on the continent, was established.
The office seeks to develop and implement appropriate programs to consolidate capacities and skills in the fight against terrorism.
The Moroccan official also recalled the implementation of the Central Bureau of Judicial Investigations (BCIJ), the National Financial Intelligence Authority, and the National Committee for the Implementation of UN Security Council sanctions related to terrorism and the arms proliferation and their financing.
Several member states and entities of the UN global counter-terrorism coordination compact, as well as international organizations, and human rights experts, participated in the ministerial conference to strengthen the communities’ resilience against violent extremism.
Last week, a joint operation by Morocco’s BCIJ and the US Federal Bureau of Investigation (FBI) resulted in the  arrest of an ISIS-affiliated suspect in the city of Berkane, northeastern Morocco.
Investigations established that the suspect was involved in preparing a violent extremist attack to undermine Morocco’s stability and security.
US and Moroccan security services have long cooperated in counter-terrorism cases, with Washington considering Rabat an important security ally and a counter-terrorism bulwark in the MENA region.
Read Also: BCIJ, FBI Cooperate in Arrest of ISIS Suspect in Morocco
© Morocco World News. All Rights Reserved. This material may not be published, rewritten or redistributed without permission."
42,Arab League Appoints Moroccan Diplomat to Oversee Lebanon Elections,A number of political parties in Lebanon will go head-to-head for the first time in four years,Callum Sutherland,"May 11, 2022 3:00 p.m.","Rabat - Moroccan diplomat Ahmed Rachid Khattabihas been appointed by the Arab League to oversee Lebanon’s upcoming elections. The Lebanese public will cast their vote this Sunday, May 15, amid economic and political turmoil in the country. 
Khattabi was appointed as the Arab League’s Deputy Secretary General, as well as head of media and communications in March this year. The Moroccan diplomat will head the mission, in which meetings will be held with organizers of the election. This will include discussions with the Supervisory Commission for Elections and the Constitutional Council among others. 
Other officials from the League’s mission will be distributed across Lebanon to observe the voting process in 15 constituencies. In line with the organization’s framework, officials will look to ensure integrity, credibility, and impartiality at the polls. 
Read also: Arab League Adopts Full Map of Morocco
The last general election in Lebanon took place in 2018. Since then, national economic issues have worsened, and the capital Beirut was hit with a devastating explosion in August 2020. Much of the city’s port and other buildings were heavily damaged.
Hezbollah won the 2018 election, but public unrest has resulted in a shift in public opinion. According to a poll conducted in February, 25.7% of voters are predicted to choose an independent candidate, with Hezbollah estimated to receive 14.7% of the vote.
Like the Arab League, the European Union announced in February that it would be deploying a mission to oversee the elections. Member of the European Parliament Gyorgy Holvenyi was appointed as Chief Observer for the mission. Holvenyi said, “My hope is that our work can help to foster confidence and further reinforce the democratic process in the country”.
Thousands of Lebanese citizens living abroad will also have their say in the elections, with over 130,000 voting on May 8. At home, there is hope that turnout will be higher than before. In 2018, only 49% of eligible citizens cast their vote.
© Morocco World News. All Rights Reserved. This material may not be published, rewritten or redistributed without permission."
43,"Morocco, Kuwait Hold Talks to Strengthen Bilateral Relations",Morocco’s FM Nasser Bourita received several foreign ministers on Tuesday.,Lamine Rahhali,"May 11, 2022 2:46 p.m.","Rabat - Moroccan Foreign Minister, Nasser Bourita, and his Kuwaiti counterpart, Sheikh Dr. Ahmad Nasser Al-Mohammad Al-Sabah, met in Marrakesh on Tuesday to discuss the two countries' deep and improving ties.
Discussions between the two chief diplomats mainly focused on ways to promote bilateral relations at all levels, as well as the most recent developments on both the regional and international levels, reported Kuwait News Agency (KUNA).
Bourita’s meeting with Al-Sabah was held on the sidelines of the international coalition’s ministerial meeting to combat ISIS, which is currently taking place in Marrakech.
Participants have billed the ministerial meeting as yet another step toward achieving international coordination in the fight against ISIS. During the meeting, the coalition will assess the global strategy to curb Daesh’s (ISIS) influence and explore the rise of related terrorist groups around the world.
The international coalition against ISIS was founded in 2014 and consists of 84 states.
Morocco’s and Kuwait bilateral relations have always been friendly.
In 2014, Kuwait's ambassador to Morocco, Shamlan Al Roomi, praised King Mohammed VI and the Emir of Kuwait, Sabah al-Ahmad al-Jaber al-Sabah, for their commendable efforts in promoting fruitful and long-term bilateral cooperation.
In December 2020, Kuwait expressed support for the US’ decision to recognize Moroccan sovereignty over Western Sahara.
Read also: Kuwait Reiterates Support for Moroccan Sovereignty Over Western Sahara
Kuwait further reiterated support for Morocco’s sovereignty over Western Sahara during the 4th committee of the UN General Assembly in October 2021.
© Morocco World News. All Rights Reserved. This material may not be published, rewritten or redistributed without permission."
44,The Netherlands Supports Morocco’s Autonomy Plan for Western Sahara,The Netherlands joins a growing list of European countries that see Morocco’s autonomy initiative as the most viable route to a lasting solution to the Sahara dispute.,Safaa Kasraoui,"May 11, 2022 1:36 p.m.","Rabat - The Netherlands has said that Morocco’s Autonomy Plan is a “serious and credible contribution” to the UN-led political process to find an agreed upon and mutually acceptable solution to the Western Sahara dispute.
Dutch Foreign Affairs Minister Wopke Hoekstra expressed his country’s support for Morocco’s initiative during a meeting today with his Moroccan counterpart Nasser Bourita.
Following the meeting, the Netherlands and Morocco published a joint press release in which the European country conveyed its new position.
The news comes amid growing support for Morocco’s position on Western Sahara.
After the US’ recognition of Morocco’s sovereignty over Western Sahara in December 2020, many other countries have officially endorsed the Moroccan autonomy initiative, describing it  as the most serious and credible basis to end the Sahara dispute.
In March, Spain publicly announced its support of Morocco’s Autonomy Plan, calling the Moroccan proposal the “most serious and credible” solution for Western Sahara.
A few days after Spain’s endorsement, France reiterated its support for the Moroccan initiative and touted cooperation with Morocco.
In December 2021, Germany announced Morocco’s Autonomy Plan as an “important contribution” from Morocco to resolve the dispute over the Sahara.
As part of today’s meeting, the Netherlands and Morocco jointly reaffirmed their support for Staffan de Mistura, the UN envoy for Western Sahara, urging him to continue his efforts for a “political process that seeks to achieve a just, lasting, and mutually acceptable political solution” in accordance with the resolutions of the UN Security Council. 
The two countries also reaffirmed the importance of their cooperation to ensure regional stability.
In particular, the Moroccan and Dutch top diplomats recalled the long-standing diplomatic ties uniting their two countries for over 400 years, stressing a firm desire to intensify dialogue and cooperation at all levels -- especially in the fields of culture, security, human rights, and trade.
Both Morocco and the Netherlands committed to engaging in joint actions to defeat terrorism.
On Tuesday, the two countries signed an agreement reaffirming their determination to boost cooperation in the security field.
The Dutch FM’s meeting with Bourita took place on the sidelines of the Ministerial Meeting of the Global Coalition against ISIS, which opened today in Marrakech with representatives from 80 countries.
© Morocco World News. All Rights Reserved. This material may not be published, rewritten or redistributed without permission."
45,Coalition Against ISIS: Ministerial Meeting Opens in Marrakech Without Blinken,"Blinken tested positive for COVID-19 last week, preventing him from attending the high-level meeting in Marrakech.",Safaa Kasraoui,"May 11, 2022 12:21 p.m.","Rabat - The Ministerial Meeting of the Global Coalition to Defeat ISIS has opened today in the city of Marrakech, convening high-level officials from around the world.
Secretary of State Antony Blinken, who was among the A-list of the potential attendees, did not make his trip to Morocco due to COVID-19.
On Tuesday, Blinekn and Moroccan Foreign Affairs Minister Nasser Bourita held a phone call in which the US official expressed “his regret” at not being able to participate in the meeting.
US Under-Secretary for Political Affairs Victoria Nuland will represent Blinken during the meeting.
In his opening remarks during the coalition meeting, Bourita extended his words of “sympathy” to his “dear friend and colleague Secretary of State Antony Blinken.”
He said of Blinken’s absence from the meeting, “We had planned to meet in Marrakech, for our 3rd meeting in only a few weeks. But Covid-19 decided otherwise. I send him my greetings and best wishes for a speedy and full recovery.”
Bourita also extolled the “central role” Blinken played in bringing life to the Marrakech Global Coalition, saying that he is certain like everyone else that the US official “has the same will to see this meeting’s results sustained over time and that he will ensure its successful follow-up.”
The top Moroccan diplomat expressed satisfaction with the coalition’s efforts in challenging terror threats despite COVID-19.
He said the coalition was able to  reinforce its actions against terrorism, emphasizing that the “unprecedented” number of  representatives from different countries in Africa and Asia reflects “another force multiplier in achieving this objective.”
But global terrorism's threat to worldwide stability and security has not diminished despite bold efforts and substantial achievements by governments, Bourita reminded participants.
“ISIS holds the infamous record of becoming the world's deadliest terrorist group in 2021,” he said, recalling a resurgent ISIS is increasingly expanding in Africa.
“Compared to the pre-pandemic period, violence has increased on the continent, with a 40 to 60% rise in terms of fatalities and attacks,” Bourita argued.
The Moroccan foreign minister shared alarming numbers on ISIS’s presence on the continent, saying that sub-Saharan Africa accounted for 48% of global terrorism deaths and 3,461 casualties. The number brought the death toll to 30,0000 people during the last 15 years.
Renewed Concerns Regarding The Sahel
The Moroccan FM also recalled the situation in the Sahel region, an area frequently described by top security officials as a breeding ground for terror groups.
“The Sahel is home to the world’s fastest-growing and most-deadly terrorist groups,” Bourita said, stressing that the region accounts for 35% of global terrorism deaths in 2021.
Terror-related fatalities increased in the region by more than 1,000% between 2007 and 2021.
Morocco has long expressed concerns regarding the situation in the Sahel, regretting the lack of joint responsibility to defeat ISIS threats in the region.
Haboub Cherkaoui, Head of Morocco's Central Bureau of Judicial Investigations (BCIJ), has repeatedly renewed calls for a shared responsibility against ISIS in a recent interview with Spanish news agency EFE.
“The focus that bothers and worries Morocco the most, currently, is the Sahel area, which has become a safe and fertile refuge for terrorist networks,” the BCIJ chief warned in a recent interview.
BCIJ is known as Morocco’s FBI, mobilizing its personnel against the scourge of terror cells in the North African country.
Cherkaoui emphasized that ISIS loyals and sympathizers are eager to join the terrorist group’s ranks in conflict zones like the Sahel.
“Most of the firearms seized with the [ISIS-affiliated] detainees [arrested in Morocco] come from the sub-Saharan region,” he noted.
Bourita echoed Cherkaoui’s remarks, saying that West Africa and the Sahel are the most impacted regions by insecurity in Africa, with over 1.4 million people internally displaced due to ongoing confrontations.
“Today, 27 terrorist entities based in Africa are registered on the UN Security Council Sanction list. This is a clear indicator of their connections to major global terrorist Groups,” he said.
© Morocco World News. All Rights Reserved. This material may not be published, rewritten or redistributed without permission."
46,Israeli Troops Kill Prominent Palestinian Journalist Shireen Abu Akleh,Akleh was one of the most prominent journalists at Al Jazeera.,Safaa Kasraoui,"May 11, 2022 10:53 a.m.","Israeli forces have once again sparked outrage following the killing of Shireen Abu Akleh, a veteran Al Jazeera reporter and one of the most prominent and admired journalists in the Arab world.  
The Palestinian Health Ministry confirmed the news of Akleh’s death, saying that Israeli forces killed the veteran Al Jazeera journalist with a live bullet on Wednesday.
Abu Akleh was covering Israeli raids in the occupied West Bank, the ministry noted, adding that she was murdered despite wearing her press vest and helmet. The journalist was taken to the hospital in critical condition after being critically wounded, and she was later pronounced dead by the personnel.
A Jerusalem-born reporter, 51-year-old Shireen Abu Akleh studied architecture in Jordan before joining Yarmouk University in the same country to pursue her journalism career.
Following her graduation, she went back to Palestine, where she served as a journalist in local media.
She joined Al Jazeera in 1997, where she established herself as one of the most well-known and admired reporters of the Arab world.
Photos and videos documenting the killing of the journalist have gone viral online.
The death of the much-admired and revered Palestinian journalist has left many shocked across the world.
“The brilliant journalist Shreen Abu Akleh was executed today with cold hands by Israeli Army, even though she was wearing a press label,” said one comment onTwitter.
“The daughter of Jerusalem, the Knight of the Truth. There is no immunity for any Palestinian, even if he is to be protected by international laws. A paramedic, a journalist, there is no difference -- all are legitimate targets, without money, not even accountability,” noted another Twitter user.
According to Al Jazeera, gunshots by Israeli troops also injured one of its journalists named Ali Samoudi. 
Samoudi was shot in the back, Al Jazeera reported, adding: “He is now in a stable condition, and said that there were no Palestinian fighters present when the journalists were shot, directly disputing an Israeli statement that referenced the possibility.”
The wounded Al Jazeera journalist emphasized that he and Shireen were going to film “the Israeli army operation and suddenly they shot us without asking us to leave or stop filming.”
Another Palestinian journalist, Shatha Hanaysha, confirmed that there were no confrontations between Palestinian fighters and the Israeli troops during the killing of Shireen Akleh.
“We were four journalists, we were all wearing vests, all wearing helmets,” Hanaysha told Al Jazeera.
“The [Israeli] occupation army did not stop firing even after she collapsed. I couldn’t even extend my arm to pull her because of the shots. The army was adamant on shooting to kill.”
© Morocco World News. All Rights Reserved. This material may not be published, rewritten or redistributed without permission."
47,"Morocco, US, UK Discuss Joint Fight Against Money Laundering","The UN encourages states to counter money laundering through different means, including raising public awareness about the challenge.",Safaa Kasraoui,"May 10, 2022 4:49 p.m.","Rabat - Moroccan, US, and British prosecutors and investigators this week the need to jointly combat money laundering, one of the most common financial crimes in the world.
The three countries are participating in a two-day workshop from May 10-11 in Marrakech to share expertise and “successful strategies” to counter money laundering crimes, said a statement from the US Embassy in Rabat.
The US Department of Justice’s Office of Overseas Prosecutorial Development, Assistance and Training (OPDAT) and the Moroccan government, jointly organized the workshop with the goal of demonstrating the joint US-Moroccan commitment to “combatting criminal organizations and blocking their access to illicit financing,” noted the statement.
Lawerence Randolph, the US Consul General in Casablanca, said that prosecutors and legal representatives convened in the workshop to work together to “make Moroccan money laundering prosecutions more impactful.”
“The more that law enforcement can attack criminals’ ability to launder money, the less incentive it is for criminals to engage in crime in the first place,”  the consul general added in his opening remarks at the workshop.
The US embassy said that the participants will discuss different aspects, including  “Moroccan legal tools available to bring money laundering charges alongside substantive criminal charges, as well as specific techniques to develop deeper financial investigations.”    
Panels will also outline how to allow prosecutors from each country to work together with international law enforcement partners on money laundering investigations. 
Article 3.1 of the 1988 UN Vienna Convention describes money laundering as the “conversion or transfer of property,  knowing that such property is derived from any offense(s), for the purpose of concealing or disguising the illicit origin of the property or of assisting any person who is involved in such offense(s) to evade the legal consequences of his actions.”
The UN encourages states to counter money laundering through different means, including raising public awareness about the challenge.
Morocco is no exception to money laundering challenges, with the country emphasizing its commitment to strengthening its strategy to fight both the issue and terrorist financing. In recent months, the Moroccan government has spoken of the importance of training law enforcement officers to combat money laundering.
© Morocco World News. All Rights Reserved. This material may not be published, rewritten or redistributed without permission."
48,"King Mohammed VI Calls for Action Against Climate Change, Desertification","The monarch touted Morocco’s achievements in climate change, while calling for more African cooperation in the topic.",Oussama Aamari,"May 09, 2022 7:18 p.m.","Rabat - King Mohammed VI sent a speech on Monday to the Summit of Heads of State and Government on Drought and Sustainable Land Management in Abidjan.
In the speech, Morocco’s King praised Cote d’Ivoire’s efforts to organize the summit, describing the West African country’s hosting of the event as reflecting a “firm determination and concrete mobilization to tackle the problem of drought.”
The monarch stressed the impact of climate change in particular on drought and land sustainability in the continent, citing the loss of millions of hectares of land across the continent and more than $120 billion in economic losses.
“Climate change is not some theoretical issue, nor is it a subject for rhetorical debate. It is a harsh, unforgiving reality which is taking a toll because of increasingly frequent, severe and devastating droughts,” the speech said.
Read also: COP26: A Major Step Towards Saving the Environment
Stressing the importance of African cooperation to resolve the issue, the King called for accelerating the implementation of practical programs and the establishment of a “genuine” African alliance against desertification.
He also detailed Morocco’s achievements in the field, citing the country’s hosting of international conferences to combat climate change and its ambition of achieving a 45.5% greenhouse gas reduction by 2030.
“The fight against desertification and land degradation is an existential struggle for everyone – and even more so in Africa,” the speech, which was delivered by the Minister of Agriculture Mohamed Sadiki, continued. “This fight should not be hampered by a lack of technological capabilities or financial resources, much less political will.”
Morocco has made strides as a regional leader in the fight against climate change. In late 2021, the Climate Change Performance Index (CCPI) ranked the country fifth worldwide for its efforts to combat climate change in accordance with the 2015 Paris Agreement.
The North African kingdom has also signed several agreements with countries such as the UK to combat the climate crisis on an international scale.
© Morocco World News. All Rights Reserved. This material may not be published, rewritten or redistributed without permission."
